comment,CountM,CountA,userid,CountD,datetime,user
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1516395 ,0, 2015-09-09 15:10:46, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Remove report abusive content,1,0,r1516364 ,0, 2015-09-09 14:45:52, Jimmy 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1516286 ,0, 2015-09-09 13:23:06, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Added extra check if we have that size or not.,1,0,r1516221 ,0, 2015-09-09 11:37:11, Thomas 
,,,,,,
PHONE-1316: ATT Android || Available offline icon is hardly visible in documents screen,6,0,r1516206 ,0, 2015-09-09 11:18:13, Thomas 
,,,,,,
PHONE-1125: ATT Android || Available offline is displaying only when we select min 2 files. That to this feature is integrated only in docs and no where else,9,0,r1516182 ,0, 2015-09-09 10:57:24, Thomas 
,,,,,,
Added back empty sliding_menu_header,1,0,r1516140 ,0, 2015-09-09 09:54:23, Thomas 
,,,,,,
String updates,1,0,r1516124 ,0, 2015-09-09 09:35:37, Jimmy 
,,,,,,
String updates,1,0,r1516078 ,0, 2015-09-09 08:36:04, Jimmy 
,,,,,,
Update icons,12,0,r1515856 ,0, 2015-09-08 16:52:10, Thomas 
,,,,,,
PHONE-1259: Phone Customer Reported Issue - App Icon is square rather than rounded corners,12,0,r1515669 ,0, 2015-09-08 13:00:44, Thomas 
,,,,,,
Increased swipe time to 5 sec,1,0,r1515598 ,0, 2015-09-08 11:12:36, Thomas 
,,,,,,
PHONE-1277: Phone Locker - Header Cut Off in Android Galaxy Tablet,1,0,r1515597 ,0, 2015-09-08 11:09:10, Thomas 
,,,,,,
PHONE-1275: Android Galaxy Tablet - Image Carousel,1,0,r1515550 ,0, 2015-09-08 09:46:51, Thomas 
,,,,,,
Cancel only the target operation instead of canceling all operations.,1,0,r1515469 ,0, 2015-09-07 18:02:26, Freddie 
,,,,,,
fix the way the Cloud SDK is integrated for the upload. Reported from trunk.,2,0,r1515192 ,0, 2015-09-07 08:40:42, Freddie 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1514885 ,0, 2015-09-04 15:28:55, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Fixed lint issue,1,0,r1514854 ,0, 2015-09-04 14:45:09, Thomas 
,,,,,,
PHONE-1246: CR018 Carousel,18,5,r1514848 ,1, 2015-09-04 14:35:07, Thomas 
,,,,,,
PHONE-1116: Phone 2.0 - Push notification icon Intermittently appear - Nexus 5.,10,5,r1514769 ,0, 2015-09-04 12:36:03, Thomas 
,,,,,,
PHONE-1152: Phone 2.0 - Pop up message is displayed as creating music album when we are trying to creating photo album,1,0,r1514659 ,0, 2015-09-04 10:33:11, Thomas 
,,,,,,
PHONE-1158: ATT Android || Inconsistence of 'Remove from Playlist' from contextual menu to title,1,0,r1514632 ,0, 2015-09-04 09:24:09, Thomas 
,,,,,,
PHONE-1109: Phone 2.0 - Empty Pop up message is displayed when we tap on continue on Download paused Roaming detected screen.,1,0,r1514422 ,0, 2015-09-03 16:43:11, Thomas 
,,,,,,
"extends to all I/O exceptions the pause of download operations, by using the latest Cloud SDK 1.0.8.18",1,0,r1514088 ,0, 2015-09-03 10:11:46, Freddie 
,,,,,,
Finer detection of the manager to call (remote or local file manager) depending on the state of the work,1,0,r1511865 ,0, 2015-08-28 09:28:08, Freddie 
,,,,,,
fixed PHONE-1104 No-Videos message is displayed under photos tab.,1,0,r1511531 ,0, 2015-08-27 15:18:55, murari.krishnan 
,,,,,,
Removed unused -keepclassmembers,1,0,r1511263 ,0, 2015-08-27 09:07:17, Thomas 
,,,,,,
ANDINTL-3702: 15.2-PC-login pop up is displayed when device is kept idle for some time,1,0,r1510630 ,0, 2015-08-26 10:51:19, Freddie 
,,,,,,
Merging 15.2 changes,3,0,r1510560 ,0, 2015-08-26 09:41:24, Thomas 
,,,,,,
PHONE-1018: Phone || Files downloading is not resuming once the airplane mode is turned ON and OFF,1,0,r1510491 ,0, 2015-08-26 08:12:56, Freddie 
,,,,,,
"15.2- Warning message is displayed when we disabled wi-fi during photo upload,upload is not resuming when wi-fi is back",3,0,r1510251 ,0, 2015-08-25 17:19:59, Nicky 
,,,,,,
PHONE-1039: Phone 2.0 - Push notification icon is not matching on all devices.,0,8,r1510206 ,0, 2015-08-25 16:28:54, Thomas 
,,,,,,
PHONE-995: ATT Android || Keypad is in visible state when we click on hamburger menu from the help screen search field,2,0,r1509790 ,0, 2015-08-25 09:34:01, Thomas 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1509257 ,0, 2015-08-24 11:14:13, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
PHONE-363,0,5,r1509222 ,0, 2015-08-24 10:37:35, Jimmy 
,,,,,,
PHONE-434,1,0,r1508948 ,0, 2015-08-21 16:50:38, Jimmy 
,,,,,,
PHONE-996,2,0,r1508779 ,0, 2015-08-21 14:07:58, Jimmy 
,,,,,,
PHONE-996,1,0,r1508685 ,0, 2015-08-21 12:12:20, Jimmy 
,,,,,,
PHONE-854 - Changed sender ID,1,0,r1508629 ,0, 2015-08-21 11:16:41, Jimmy 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1508188 ,0, 2015-08-20 15:06:07, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
TypographyDashes fix,1,0,r1508164 ,0, 2015-08-20 14:41:27, Jimmy 
,,,,,,
TypographyDashes fix,1,0,r1508161 ,0, 2015-08-20 14:35:13, Jimmy 
,,,,,,
String updates,1,0,r1508151 ,0, 2015-08-20 14:28:08, Jimmy 
,,,,,,
PHONE-908,1,3,r1508145 ,0, 2015-08-20 14:19:26, Jimmy 
,,,,,,
PHONE-812: CLONE - Phone - Handset - Phone Icon on What to Back up screen,3,0,r1508044 ,0, 2015-08-20 12:05:30, Thomas 
,,,,,,
"PHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud""",1,0,r1508020 ,0, 2015-08-20 11:49:01, Thomas 
,,,,,,
"PHONE-726: Phone 2.0 - Message displayed on tapping of ""Locker Backup Paused Roaming detected..."" notification is not as expected.",1,0,r1507926 ,0, 2015-08-20 09:42:08, Thomas 
,,,,,,
"PHONE-916: Phone 2.0 - ""Get Start"" Button string is not clear - HTC desire 610.",2,0,r1507915 ,0, 2015-08-20 09:32:45, Thomas 
,,,,,,
PHONE-957: Phone - About Screen Copyright,2,0,r1507705 ,0, 2015-08-19 16:54:40, Thomas 
,,,,,,
PHONE-879: Phone 2.0 - First Time User Login Flow Every Time,1,0,r1507637 ,0, 2015-08-19 15:30:13, Thomas 
,,,,,,
Fixed: libpng warning: iCCP: Not recognizing known sRGB profile that has been edited,6,0,r1507417 ,0, 2015-08-19 10:47:31, Thomas 
,,,,,,
PHONE-854: CLONE - Push Notification are not Recieved Next Day,1,0,r1507415 ,0, 2015-08-19 10:46:16, Thomas 
,,,,,,
PHONE-854: CLONE - Push Notification are not Recieved Next Day,4,4,r1507409 ,0, 2015-08-19 10:36:15, Thomas 
,,,,,,
"PHONE-725: Phone 2.0 - ""Upload paused. Roaming detected."" Notification is not displayed on device notification tray when we download any content when user is in roaming data and WiFi is off.",3,0,r1506528 ,0, 2015-08-17 16:22:32, Thomas 
,,,,,,
PHONE-807: Phone 2.0 - Repeat option in the Music Player is not working as expected,2,7,r1506431 ,0, 2015-08-17 13:36:03, Thomas 
,,,,,,
PHONE-879 - Added internal preference flag,3,0,r1505785 ,0, 2015-08-14 13:54:38, Jimmy 
,,,,,,
PHONE-591,2,0,r1505761 ,0, 2015-08-14 13:17:45, Jimmy 
,,,,,,
Modified code,6,0,r1505731 ,0, 2015-08-14 12:44:07, Jimmy 
,,,,,,
Normalising code,9,0,r1505616 ,0, 2015-08-14 09:38:08, Jimmy 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1505141 ,0, 2015-08-13 14:59:27, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
App does not open for Android M - Beta,1,0,r1505095 ,0, 2015-08-13 14:11:18, Nicky 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1505036 ,0, 2015-08-13 13:24:34, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
String update,1,0,r1505021 ,0, 2015-08-13 12:56:59, Jimmy 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1504972 ,0, 2015-08-13 11:45:19, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
PHONE-549,2,0,r1504930 ,0, 2015-08-13 11:11:29, Jimmy 
,,,,,,
Removed notification icons.,0,0,r1504897 ,6, 2015-08-13 10:34:01, Jimmy 
,,,,,,
Modified,1,0,r1504896 ,0, 2015-08-13 10:33:33, Jimmy 
,,,,,,
String updated,1,0,r1504892 ,0, 2015-08-13 10:21:05, Jimmy 
,,,,,,
Removed temporary check for status,1,0,r1504678 ,0, 2015-08-12 17:59:37, Jimmy 
,,,,,,
PHONE-799 - Modified the layout of the button to wrap the text,1,0,r1504521 ,0, 2015-08-12 15:08:00, Jimmy 
,,,,,,
LINT FIX,1,0,r1504447 ,0, 2015-08-12 13:23:37, Jimmy 
,,,,,,
PHONE-295,1,1,r1504404 ,0, 2015-08-12 12:19:41, Jimmy 
,,,,,,
Added migration activity,2,0,r1504391 ,0, 2015-08-12 12:08:41, Jimmy 
,,,,,,
Added migration status screen,4,2,r1504316 ,0, 2015-08-12 10:29:11, Jimmy 
,,,,,,
Added backup status,1,0,r1504239 ,0, 2015-08-12 08:26:25, Jimmy 
,,,,,,
Added strings as translated for phraseapp,1,0,r1503167 ,0, 2015-08-10 14:30:21, Jimmy 
,,,,,,
Added strings as translated for phraseapp,1,0,r1503160 ,0, 2015-08-10 14:25:22, Jimmy 
,,,,,,
Added strings as translated for phraseapp,1,0,r1503152 ,0, 2015-08-10 14:06:28, Jimmy 
,,,,,,
Added strings as translated for phraseapp,1,0,r1503149 ,0, 2015-08-10 14:01:26, Jimmy 
,,,,,,
Removed unused import,1,0,r1502449 ,0, 2015-08-07 13:55:01, Jimmy 
,,,,,,
PHONE-434 Changed Slide Menu changed to Phone Locker,1,0,r1502425 ,0, 2015-08-07 13:29:04, Jimmy 
,,,,,,
Remove sliding menu header,1,0,r1502023 ,0, 2015-08-06 16:44:44, Thomas 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1501699 ,0, 2015-08-06 10:00:39, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
"Share optimisation, don't do thumbnails request for non media items",2,0,r1501400 ,0, 2015-08-05 15:58:41, Thomas 
,,,,,,
PHONE-551: Phone 2.0 - Push notification is starting download of the shared file,1,0,r1501345 ,0, 2015-08-05 14:43:58, Thomas 
,,,,,,
PHONE-681,2,0,r1501337 ,0, 2015-08-05 14:30:09, Jimmy 
,,,,,,
PHONE-549 - Suppressed view when not data is available,1,0,r1501323 ,0, 2015-08-05 14:16:44, Jimmy 
,,,,,,
Exclude non en and ldpi resources from client-att client,1,0,r1501134 ,0, 2015-08-05 10:36:03, Thomas 
,,,,,,
Removed unused contacts related classes,3,0,r1500801 ,19, 2015-08-04 16:34:43, Thomas 
,,,,,,
Removed unused BackupNowActivity,5,0,r1500768 ,2, 2015-08-04 16:00:51, Thomas 
,,,,,,
PHONE-651: Phone 2.0 - Add files pop up is not displayed as expected when we try to add more files to share,1,0,r1500697 ,0, 2015-08-04 14:47:30, Thomas 
,,,,,,
PHONE-654: Phone 2.0 - App is crashing when we double tap on device back key when favoriting/unfavoriting content is in progress.,1,0,r1500688 ,0, 2015-08-04 14:31:44, Thomas 
,,,,,,
Lint modification,1,0,r1500683 ,0, 2015-08-04 14:27:27, Jimmy 
,,,,,,
Lint modification,1,0,r1500676 ,0, 2015-08-04 14:16:37, Jimmy 
,,,,,,
Lint modification,2,0,r1500671 ,0, 2015-08-04 14:11:09, Jimmy 
,,,,,,
PHONE-591: Phone 2.0 - 'Report Abusive Content' is available in Share tab.,1,0,r1500665 ,0, 2015-08-04 14:04:57, Thomas 
,,,,,,
Lint modification,1,0,r1500664 ,0, 2015-08-04 14:04:25, Jimmy 
,,,,,,
PHONE-363 - Updated notification icon,0,6,r1500656 ,0, 2015-08-04 13:54:05, Jimmy 
,,,,,,
"PHONE-552: Phone 2.0 - ""About"" not implemented in settings.",5,0,r1500654 ,0, 2015-08-04 13:49:54, Thomas 
,,,,,,
Build fix,1,0,r1500629 ,0, 2015-08-04 13:17:59, Jimmy 
,,,,,,
PHONE-613 - Removed tile,0,1,r1500628 ,0, 2015-08-04 13:09:04, Jimmy 
,,,,,,
"PHONE-623: Phone 2.0 - ""Remove from Playlist"" pop up is displayed when user try to remove Photo or video from an album.",2,0,r1500605 ,0, 2015-08-04 12:06:10, Thomas 
,,,,,,
Removed unused UserChanged,3,0,r1500577 ,2, 2015-08-04 11:38:01, Thomas 
,,,,,,
Removed unused ContactsActivity,2,0,r1500567 ,3, 2015-08-04 11:32:33, Thomas 
,,,,,,
PHONE-547 - Added rounded buttons accross the board,0,16,r1500550 ,0, 2015-08-04 11:20:26, Jimmy 
,,,,,,
Removed unused,1,0,r1500540 ,0, 2015-08-04 11:11:54, Thomas 
,,,,,,
"Removed specific VZW provisioning_flow_enabled , contacts clean up and contacts history",23,0,r1500536 ,93, 2015-08-04 11:04:57, Thomas 
,,,,,,
Removed unused resources,1,0,r1499589 ,1, 2015-07-31 14:45:12, Thomas 
,,,,,,
Removed NAB QuotaManagement feature,7,0,r1499580 ,9, 2015-07-31 14:38:41, Thomas 
,,,,,,
"PHONE-578: ""/n"" showing up in string rather than text moving to new line",1,0,r1499551 ,0, 2015-07-31 14:02:01, Thomas 
,,,,,,
Removed Reliance specific login and download classes,6,0,r1499540 ,8, 2015-07-31 13:53:01, Thomas 
,,,,,,
Set mct.cloud.fallback to false,3,0,r1499498 ,0, 2015-07-31 13:13:05, Thomas 
,,,,,,
PHONE-418: Login errors need to be handled.,3,2,r1499392 ,0, 2015-07-31 11:25:54, Thomas 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1499015 ,0, 2015-07-30 15:31:45, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
"Put translatable=""false""",1,0,r1498989 ,0, 2015-07-30 15:01:09, Thomas 
,,,,,,
Updated icon.png,0,6,r1498978 ,0, 2015-07-30 14:50:17, Thomas 
,,,,,,
Fixing libpng warning: iCCP: Not recognizing known sRGB profile that has been edited,2,0,r1498977 ,0, 2015-07-30 14:49:48, Thomas 
,,,,,,
Added ignores UnusedResources,1,0,r1498965 ,0, 2015-07-30 14:39:58, Thomas 
,,,,,,
Removed unused strings,1,0,r1498952 ,0, 2015-07-30 14:33:20, Thomas 
,,,,,,
"Moved nab_account_type, dataclasses, dataclasses_extended_pcloud and dataclasses_extended_mct into configuration",4,1,r1498934 ,0, 2015-07-30 14:09:42, Thomas 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1498787 ,0, 2015-07-30 10:43:33, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
,1,0,r1498744 ,0, 2015-07-30 09:58:03, Thomas 
,,,,,,
"PHONE-423: External web addresses for auth, upgrade and logout need to be retrieved from SNC.",29,0,r1498709 ,0, 2015-07-30 09:05:21, Thomas 
,,,,,,
Update prod values,1,0,r1498319 ,0, 2015-07-29 14:46:30, Thomas 
,,,,,,
Set up correct prod endpoints,1,0,r1498300 ,0, 2015-07-29 14:20:59, Thomas 
,,,,,,
PHONE-340: Phone 2.0 - PUSH Notification are not working - DEV / API,4,0,r1498083 ,0, 2015-07-29 10:06:55, Thomas 
,,,,,,
PHONE-491: Phone - Countly End Points,3,0,r1497536 ,0, 2015-07-28 10:22:46, Thomas 
,,,,,,
Set gap strategy to GAP_HANDLING_NONE,1,0,r1497472 ,0, 2015-07-28 08:38:12, Thomas 
,,,,,,
Potential NPE fixed.,1,0,r1497063 ,0, 2015-07-27 13:01:18, Nicky 
,,,,,,
PHONE-471: Phone - Shadow ro right of Logo,3,0,r1496931 ,0, 2015-07-27 10:10:44, Thomas 
,,,,,,
PHONE-478: PHONE 2.0 - Homescreen Timeline should be bolded,1,0,r1496908 ,0, 2015-07-27 09:26:01, Thomas 
,,,,,,
"Added QA Tested to the jira report, revert settings.gradle",2,0,r1496519 ,0, 2015-07-24 16:13:21, Thomas 
,,,,,,
Wrong commit,1,0,r1496513 ,0, 2015-07-24 16:00:58, Thomas 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1496435 ,0, 2015-07-24 14:43:57, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
,1,0,r1496285 ,0, 2015-07-24 11:49:13, Thomas 
,,,,,,
"PHONE-397: Phone 2.0 - ""Content found"" notification does not pop up.",1,0,r1496265 ,0, 2015-07-24 11:27:05, Thomas 
,,,,,,
"PHONE-466: Phone 2.0 - ""MigrationInfo"" Text appears frequently went navigate to ""what to back up"".",2,0,r1496231 ,0, 2015-07-24 10:45:10, Thomas 
,,,,,,
"PHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud""",1,0,r1496204 ,0, 2015-07-24 09:43:16, Thomas 
,,,,,,
PHONE-436: Phone - Disable TV Beaming,1,0,r1496201 ,0, 2015-07-24 09:37:34, Thomas 
,,,,,,
PHONE-464: Phone 2.0 - App Crashes when you navigate to Share tab.,1,0,r1496198 ,0, 2015-07-24 09:30:51, Thomas 
,,,,,,
Moved app recommendations icons into client,2,4,r1495947 ,3, 2015-07-23 16:09:42, Thomas 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1495875 ,0, 2015-07-23 15:00:50, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Removed UnusedResources,2,0,r1495841 ,0, 2015-07-23 14:32:43, Thomas 
,,,,,,
Added lint ignore for UnusedResources,1,0,r1495830 ,0, 2015-07-23 14:21:42, Thomas 
,,,,,,
Removed unused resources and enabled UnusedResources lint rule,14,0,r1495815 ,110, 2015-07-23 14:14:21, Thomas 
,,,,,,
merge in the latest changes from 15.2 to revision -r1495084,65,10,r1495607 ,0, 2015-07-23 09:37:01, Dave 
,,,,,,
Removed v11 drawables,2,3,r1495598 ,4, 2015-07-23 09:24:09, Thomas 
,,,,,,
Revert deletion,0,6,r1495589 ,1, 2015-07-23 09:12:29, Thomas 
,,,,,,
Removed unused assets,0,0,r1495583 ,2, 2015-07-23 08:48:05, Thomas 
,,,,,,
Removed unused assets,0,0,r1495579 ,297, 2015-07-23 08:44:05, Thomas 
,,,,,,
Optimised assets,22,0,r1495354 ,0, 2015-07-22 16:15:58, Thomas 
,,,,,,
ATTLocker 2.0 - Failed to Re-auth,1,0,r1495232 ,0, 2015-07-22 14:04:49, Nicky 
,,,,,,
Remove wizard images,1,0,r1494629 ,16, 2015-07-21 14:29:13, Thomas 
,,,,,,
Added migration info popup,1,0,r1494572 ,0, 2015-07-21 13:09:10, Jimmy 
,,,,,,
Added migration info popup,4,0,r1494569 ,0, 2015-07-21 12:57:12, Jimmy 
,,,,,,
Added String overload,1,0,r1494523 ,0, 2015-07-21 11:54:34, Jimmy 
,,,,,,
Added migration info parsing,2,0,r1494517 ,0, 2015-07-21 11:45:38, Jimmy 
,,,,,,
Added qa config,1,1,r1494495 ,0, 2015-07-21 11:20:23, Jimmy 
,,,,,,
PHONE-392,3,2,r1494003 ,0, 2015-07-20 12:08:48, Jimmy 
,,,,,,
Modified test case,1,0,r1493570 ,0, 2015-07-17 13:54:22, Jimmy 
,,,,,,
Updated migration classes,2,0,r1493569 ,0, 2015-07-17 13:49:52, Jimmy 
,,,,,,
Added migration class and tests,1,0,r1493563 ,0, 2015-07-17 13:28:41, Jimmy 
,,,,,,
Added migration class and tests,0,4,r1493562 ,0, 2015-07-17 13:27:38, Jimmy 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1493503 ,0, 2015-07-17 11:58:34, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Added configuration for intro screen,22,0,r1493417 ,0, 2015-07-17 10:14:16, Jimmy 
,,,,,,
Fixed release build.,1,0,r1493381 ,0, 2015-07-17 08:39:34, Thomas 
,,,,,,
Phone 2.0 - Device is not uploading or downloading.,1,0,r1493269 ,0, 2015-07-16 19:32:25, Nicky 
,,,,,,
Removed translatable flag,1,0,r1493202 ,0, 2015-07-16 16:48:08, Thomas 
,,,,,,
PHONE-354,1,0,r1493081 ,0, 2015-07-16 14:47:09, Jimmy 
,,,,,,
"Phone 2.0 - ""Report Abusive Content"" is available.",5,0,r1493067 ,0, 2015-07-16 14:37:37, Alan 
,,,,,,
PHONE-348,2,0,r1493044 ,0, 2015-07-16 14:02:49, Jimmy 
,,,,,,
PHONE-348,3,0,r1493036 ,0, 2015-07-16 13:51:17, Jimmy 
,,,,,,
PHONE-348,4,2,r1493028 ,0, 2015-07-16 13:41:50, Jimmy 
,,,,,,
"Phone 2.0 - ""Invitations and Referrals"" tool is available.",3,0,r1492956 ,0, 2015-07-16 11:51:46, Alan 
,,,,,,
Phone 2.0 - Home Screen redsign is OFF,1,0,r1492955 ,0, 2015-07-16 11:48:20, Alan 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1492513 ,0, 2015-07-15 15:46:38, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Phone Locker changes for 15.2 Branch,6,3,r1492481 ,0, 2015-07-15 15:25:12, Alan 
,,,,,,
Partial code cleanup,2,0,r1492470 ,0, 2015-07-15 15:08:50, Jimmy 
,,,,,,
Partial code cleanup,1,0,r1492457 ,0, 2015-07-15 15:02:58, Jimmy 
,,,,,,
Partial code cleanup,3,0,r1492455 ,0, 2015-07-15 15:00:04, Jimmy 
,,,,,,
Revved,1,0,r1492414 ,0, 2015-07-15 14:04:56, Jimmy 
,,,,,,
Added dev build variant,1,1,r1492409 ,0, 2015-07-15 13:55:46, Jimmy 
,,,,,,
[gradle-release] prepare for next development iteration,1,0,r1492405 ,0, 2015-07-15 13:49:47, /OU=Domain Control Validated/CN=svn.company.net 
,,,,,,
Modified mail template,1,0,r1492402 ,0, 2015-07-15 13:48:45, Jimmy 
,,,,,,
Prep for release,1,0,r1492399 ,0, 2015-07-15 13:42:17, Jimmy 
,,,,,,
Code cleanup,2,0,r1492395 ,0, 2015-07-15 13:30:01, Jimmy 
,,,,,,
Plan management,1,0,r1492330 ,0, 2015-07-15 11:55:03, Jimmy 
,,,,,,
Added boolean to upgrade,4,0,r1492308 ,0, 2015-07-15 11:33:28, Jimmy 
,,,,,,
Partial code cleanup,10,0,r1491912 ,0, 2015-07-14 14:56:43, Jimmy 
,,,,,,
Partial code cleanup,5,0,r1491892 ,0, 2015-07-14 14:40:44, Jimmy 
,,,,,,
Partial code cleanup,5,0,r1491875 ,0, 2015-07-14 14:18:59, Jimmy 
,,,,,,
Partial code clean,4,0,r1491866 ,0, 2015-07-14 14:06:22, Jimmy 
,,,,,,
Removed dead code,6,0,r1491858 ,0, 2015-07-14 13:49:51, Jimmy 
,,,,,,
modified chsettings content provider for at&t,1,0,r1491856 ,0, 2015-07-14 13:42:45, Jimmy 
,,,,,,
Authentication for locker,2,0,r1491802 ,0, 2015-07-14 12:25:40, Jimmy 
,,,,,,
Removed Ril classes,1,0,r1491445 ,0, 2015-07-13 16:29:13, Thomas 
,,,,,,
Removed Ril classes,0,0,r1491442 ,2, 2015-07-13 16:22:25, Thomas 
,,,,,,
Correct url and tag name for branch tagging,1,0,r1491435 ,0, 2015-07-13 16:17:26, Thomas 
,,,,,,
Use 15.2.30.x versioning scheme for branch,1,0,r1491428 ,0, 2015-07-13 16:12:14, Thomas 
,,,,,,
Removed old TV functionality,1,0,r1491425 ,0, 2015-07-13 16:08:55, Thomas 
,,,,,,
Removed old TV functionality,0,0,r1491421 ,1, 2015-07-13 16:03:32, Thomas 
,,,,,,
Removed old TV functionality,21,0,r1491420 ,2, 2015-07-13 16:00:35, Thomas 
,,,,,,
directed the auth callback to point at the AtpAuthActivity class,1,0,r1491333 ,0, 2015-07-13 13:59:14, Jimmy 
,,,,,,
Added application identifier to auth call,2,0,r1491323 ,0, 2015-07-13 13:48:50, Jimmy 
,,,,,,
Added web UI for auth,4,1,r1491315 ,0, 2015-07-13 13:06:21, Jimmy 
,,,,,,
Added ignorance,1,0,r1491272 ,0, 2015-07-13 11:52:09, Thomas 
,,,,,,
icon renamed as ic_launcher.png,0,6,r1491254 ,6, 2015-07-13 11:32:02, Alan 
,,,,,,
"Added configuration for web auth, plan management and logout",20,0,r1491229 ,0, 2015-07-13 11:03:48, Jimmy 
,,,,,,
Rename folder,0,1,r1491146 ,1, 2015-07-13 09:21:48, Thomas 
